,Epoch,TENET Test AP,TENET Test ROC
0,0,0.6959062924481368,0.7277508650519031
1,1,0.7344395650849604,0.7598615916955016
2,2,0.7272877821836916,0.7566435986159169
3,3,0.713020578852149,0.7395847750865052
4,4,0.7508776656442226,0.7639792387543253
5,5,0.7564794922183143,0.7737024221453287
6,6,0.7814939367978035,0.7851557093425605
7,7,0.77193442001407,0.7765743944636678
8,8,0.7436805617486875,0.7640484429065745
9,9,0.749857906056341,0.754878892733564
10,10,0.7397636211668822,0.7645674740484429
11,11,0.733250165804028,0.76401384083045
12,12,0.7200774283853333,0.7630795847750864
13,13,0.7261548186537172,0.762006920415225
14,14,0.730076683029421,0.7487543252595156
15,15,0.740712063749021,0.7695501730103806
16,16,0.7103408785749975,0.7480622837370242
17,17,0.7041120487894966,0.7371626297577855
18,18,0.7154870641411786,0.7430103806228373
19,19,0.7174491428082242,0.7378200692041523
20,20,0.6809459632768275,0.7238754325259515
21,21,0.71052187433934,0.7384429065743945
22,22,0.7198588557058871,0.7400692041522492
23,23,0.7489042340664372,0.7611764705882351
24,24,0.7485163388113553,0.7587197231833911
25,25,0.7146312047219587,0.7449480968858132
26,26,0.718429266621391,0.7500346020761246
27,27,0.7230268372213411,0.7468166089965398
28,28,0.7567327053003099,0.7605882352941176
29,29,0.7431287738301741,0.7653633217993079
30,30,0.7249099387648935,0.7474740484429065
31,31,0.7150166750591198,0.7525951557093425
32,32,0.7416777372910295,0.7638062283737024
33,33,0.7397680676441697,0.7561245674740484
34,34,0.7187084963873561,0.7509342560553632
35,35,0.7387173255194109,0.7523529411764706
36,36,0.7258372050558108,0.746712802768166
37,37,0.7383203188642915,0.7498269896193771
38,38,0.7289036250814611,0.7484083044982698
39,39,0.7433121184551184,0.7631487889273355
40,40,0.742241371848715,0.7838062283737024
41,41,0.7395929033454833,0.7770588235294118
42,42,0.775204472137877,0.7820761245674741
43,43,0.7736078899222707,0.790726643598616
44,44,0.7380436035631629,0.7589965397923875
45,45,0.7336008292947125,0.7516955017301039
46,46,0.7375882024708503,0.7495501730103806
47,47,0.7580918225811786,0.761764705882353
48,48,0.7476389712049352,0.7681660899653979
49,49,0.7426791406612279,0.7593425605536333
50,50,0.7313058950251967,0.7659515570934256
51,51,0.76197920344405,0.7824221453287198
52,52,0.7655831247962969,0.7777162629757786
53,53,0.7504576548629021,0.7633217993079585
54,54,0.7615593965321218,0.7774394463667821
55,55,0.7414455301523974,0.7756747404844291
56,56,0.7398645282727498,0.7634256055363322
57,57,0.7630804690540198,0.776332179930796
58,58,0.7702769975712456,0.7815916955017301
59,59,0.7357316418635628,0.7589619377162629
60,60,0.7276323823369699,0.7451211072664359
61,61,0.7371883806826913,0.7469896193771626
62,62,0.7408316719075426,0.7470934256055364
63,63,0.7440648925297128,0.7551557093425605
64,64,0.7339511453260676,0.7348096885813149
65,65,0.7406901058775202,0.7271626297577856
66,66,0.7440224204698684,0.7347750865051903
67,67,0.7221234474029339,0.7241522491349481
68,68,0.7182445639309802,0.7230449826989618
69,69,0.7444040979796775,0.7456401384083045
70,70,0.7327206295516762,0.7349826989619377
71,71,0.755732494212244,0.7551211072664359
72,72,0.7403967254041055,0.7455017301038062
73,73,0.7388351770660979,0.7489619377162631
74,74,0.7406655584499672,0.7473356401384083
75,75,0.7396680449722015,0.7497923875432526
76,76,0.7229003353237983,0.7410034602076124
77,77,0.738404095728269,0.750069204152249
78,78,0.7509220463495226,0.7658823529411765
79,79,0.7451595566635758,0.7580622837370242
80,80,0.7215195280263873,0.746470588235294
81,81,0.7290433286688406,0.7506920415224914
82,82,0.7479000005965458,0.760311418685121
83,83,0.7139483223759822,0.7425259515570934
84,84,0.7341312885592413,0.7552249134948098
85,85,0.7061634668715328,0.7344982698961939
86,86,0.7400890544781005,0.7497577854671281
87,87,0.7408247076688314,0.757439446366782
88,88,0.7508416424711053,0.7626297577854673
89,89,0.7556230938519205,0.7617301038062284
90,90,0.7272170335721518,0.756470588235294
91,91,0.7434377287840872,0.758235294117647
92,92,0.7561381963482884,0.7659169550173011
93,93,0.7248029594904413,0.7678546712802768
94,94,0.7235069222596855,0.7573702422145328
95,95,0.7683107105916154,0.7783737024221453
96,96,0.7564308950659864,0.7730795847750864
97,97,0.7573443682443126,0.7694463667820068
98,98,0.7309750286130752,0.7384083044982699
99,99,0.7526058688151507,0.7555017301038063
100,100,0.7342795294650335,0.7438062283737025
101,101,0.7357781708271643,0.7552941176470589
102,102,0.7215551884087249,0.7400346020761245
103,103,0.7411168903206526,0.75439446366782
104,104,0.7274485019190234,0.7484775086505191
105,105,0.7637046803973817,0.7727681660899655
106,106,0.7252615151679098,0.7462629757785466
107,107,0.722750556492916,0.7442560553633217
108,108,0.7349823210135145,0.7541868512110727
109,109,0.7550206569666915,0.7714532871972319
110,110,0.7161434620978995,0.7332179930795848
111,111,0.7529883513603031,0.7693425605536331
112,112,0.7582391260326107,0.7893771626297578
113,113,0.7691115156516899,0.7685467128027682
114,114,0.7422603694021453,0.7541176470588236
115,115,0.7466258140868799,0.7619031141868511
116,116,0.7463813681484874,0.757681660899654
117,117,0.761543323687787,0.7689619377162631
118,118,0.7555483195891908,0.7608304498269897
119,119,0.7773632157825316,0.7840484429065744
