,Epoch,TENET Test AP,TENET Test ROC
0,0,0.8238590169911424,0.8231833910034603
1,1,0.8396652884664448,0.8311072664359862
2,2,0.8396346204699261,0.8226297577854671
3,3,0.8416775905823828,0.8334256055363323
4,4,0.8387937242393332,0.8359169550173009
5,5,0.8213118039660126,0.8300000000000001
6,6,0.8358567683511704,0.8385121107266436
7,7,0.8286683220078693,0.8259861591695502
8,8,0.8146493241653789,0.8058823529411765
9,9,0.8481148129430813,0.8238754325259514
10,10,0.8021683057270703,0.7865051903114186
11,11,0.8182772757371927,0.8075086505190311
12,12,0.814601354646863,0.806955017301038
13,13,0.834713673905334,0.8132525951557094
14,14,0.8010152191693763,0.8049480968858133
15,15,0.814320784265265,0.7990311418685121
16,16,0.8256485324200233,0.8033910034602075
17,17,0.8017030922503972,0.7858823529411765
18,18,0.7874715611944103,0.7825605536332181
19,19,0.7965514952373449,0.7980276816608997
20,20,0.8158051739304921,0.798235294117647
21,21,0.7928110141186828,0.7775432525951558
22,22,0.8264429272622993,0.8062975778546713
23,23,0.8274359451488644,0.8042906574394464
24,24,0.8313632237046468,0.8108304498269896
25,25,0.8185902800540675,0.8019723183391003
26,26,0.8301363928392781,0.8166782006920416
27,27,0.7979429174947816,0.7810034602076124
28,28,0.8069263540336746,0.7858823529411765
29,29,0.8252881761782562,0.8186159169550172
30,30,0.823284576720307,0.8116955017301039
31,31,0.8199896991211157,0.8120069204152249
32,32,0.838387694214559,0.8296193771626298
33,33,0.8193736350403178,0.8225951557093427
34,34,0.843046840461257,0.8308650519031142
35,35,0.8274375468113081,0.8135986159169549
36,36,0.8383495901336745,0.8169204152249134
37,37,0.8284273939035747,0.8237370242214532
38,38,0.8125888782015398,0.8064705882352942
39,39,0.8122463072092948,0.8090311418685121
40,40,0.8176397274068743,0.8157093425605536
41,41,0.8338181063489265,0.8182006920415226
42,42,0.8279773531976898,0.8222837370242214
43,43,0.8237712589759161,0.8221453287197231
44,44,0.8245906655636808,0.8158131487889273
45,45,0.8467896937607375,0.846643598615917
46,46,0.8323305953912224,0.8361937716262976
47,47,0.8267573727581822,0.8253979238754325
48,48,0.8404830578701121,0.8324567474048443
49,49,0.8428240225008599,0.8252941176470587
50,50,0.8432536499475518,0.8301038062283737
51,51,0.8350221174286683,0.8238754325259515
52,52,0.8485049985195141,0.8365051903114187
53,53,0.835263492678783,0.8276816608996539
54,54,0.8499071292823691,0.8427335640138408
55,55,0.8543399961031067,0.8383391003460207
56,56,0.8280325381289877,0.8303460207612455
57,57,0.8368824702521442,0.8332871972318339
58,58,0.8235489435045543,0.8195155709342561
59,59,0.834912205463279,0.8206228373702422
60,60,0.8430454869158427,0.8316262975778547
61,61,0.8352062710794659,0.8173702422145328
62,62,0.8400932836444406,0.8283044982698962
63,63,0.8334305360612333,0.8255709342560552
64,64,0.8336099215957401,0.8237024221453286
65,65,0.8304812233848646,0.8247404844290657
66,66,0.8201158736043797,0.8144982698961938
67,67,0.8219855522904446,0.8322145328719723
68,68,0.8285465116383351,0.8221799307958478
69,69,0.8218458476523391,0.81719723183391
70,70,0.8054696990264093,0.7909342560553633
71,71,0.8132563619262198,0.8097577854671281
72,72,0.8349973892845843,0.8228373702422146
73,73,0.8263561527930635,0.8113494809688582
74,74,0.8040117239073298,0.8149826989619378
75,75,0.80552439788721,0.8066782006920415
76,76,0.8215340809358302,0.8215570934256056
77,77,0.8160098256342401,0.8217993079584777
78,78,0.8358954561386451,0.8289965397923875
79,79,0.8398738036700273,0.8466782006920415
80,80,0.8164905095549697,0.8199307958477509
81,81,0.835023016760452,0.8312802768166089
82,82,0.8197661354105439,0.8197923875432526
83,83,0.8011748814937366,0.8203806228373703
84,84,0.8024702583409187,0.8106228373702422
85,85,0.8178912066812759,0.807923875432526
86,86,0.8345115563953195,0.8250173010380624
87,87,0.8061910218448813,0.8096193771626297
88,88,0.7994547995908605,0.8080968858131489
89,89,0.822332444397823,0.8209688581314879
90,90,0.7733007981580766,0.7872664359861592
91,91,0.8101944312223794,0.8068166089965398
92,92,0.8252465312760526,0.8103460207612456
93,93,0.8177086248230158,0.8150173010380622
94,94,0.813626897624526,0.8147404844290658
95,95,0.7980414650789702,0.814325259515571
96,96,0.7876698474571173,0.8093771626297577
97,97,0.7870913210299098,0.8068858131487889
98,98,0.8161208135392473,0.8331487889273357
99,99,0.8089641250853996,0.8262283737024222
100,100,0.7952754912514207,0.8033910034602076
101,101,0.8017914692538353,0.7994809688581314
102,102,0.7926026120686671,0.7984083044982698
103,103,0.7686376465348201,0.7850519031141868
104,104,0.7787760313727704,0.7942214532871973
105,105,0.788202367845205,0.8010380622837371
106,106,0.7444205130881216,0.7704152249134949
107,107,0.7795690792941837,0.7988235294117646
108,108,0.7649081311081142,0.7817993079584774
109,109,0.7995969439227821,0.8086505190311419
110,110,0.7924800074275098,0.8004844290657439
111,111,0.7898139882469797,0.7949826989619377
112,112,0.7992987914103845,0.810726643598616
113,113,0.7958249423188481,0.8028027681660899
114,114,0.8001738007702829,0.8191003460207613
115,115,0.7867147987806109,0.8088581314878892
116,116,0.7873263941235515,0.8093771626297578
117,117,0.7871622737627897,0.8038062283737025
118,118,0.8021467525016317,0.8140138408304498
119,119,0.7922205532222257,0.8152595155709342
