,Epoch,TENET Test AP,TENET Test ROC
0,0,0.6969529684094622,0.6934920685036409
1,1,0.6893333927272619,0.7047799286023517
2,2,0.7254311571344985,0.7406707322620296
3,3,0.7320655070978386,0.7412208505535164
4,4,0.7344696355080511,0.7379610785957427
5,5,0.7185864339833554,0.7217922564963994
6,6,0.7258598387226788,0.7253287598953062
7,7,0.7286672153890443,0.7296452218640983
8,8,0.7247232667492839,0.7275769269257752
9,9,0.7283044604406822,0.72878004312114
10,10,0.7242609307447949,0.7244651196641068
11,11,0.7304487687117065,0.7284134759716572
12,12,0.739305700533116,0.7372672766843493
13,13,0.7512170378721608,0.7514052632621051
14,14,0.7503748040394205,0.7479739806891355
15,15,0.7580345481448958,0.7565393438929646
16,16,0.7636227780952969,0.7617554338897484
17,17,0.7639061392567683,0.7613141485822413
18,18,0.7592315175956615,0.7582878290609085
19,19,0.7556122716178078,0.7523776695854687
20,20,0.7608084292592925,0.7528300589343653
21,21,0.7518323462103754,0.7477428025744253
22,22,0.7706951834649635,0.7669626272750575
23,23,0.7657118862967596,0.7636801789917959
24,24,0.7676316433855221,0.7611009643659272
25,25,0.7745399864475703,0.769362371159674
26,26,0.7700142383612875,0.7614235167007457
27,27,0.7784786552279738,0.7734138077550624
28,28,0.7833504848727213,0.7772570770203068
29,29,0.7779309455953418,0.7698219179328396
30,30,0.7804193886180066,0.7732877166826582
31,31,0.7761167055927256,0.7708579383728378
32,32,0.7822119853882719,0.7792976118551562
33,33,0.7845091417195681,0.7800159630628746
34,34,0.7857475545423633,0.7807648838303217
35,35,0.792483357095692,0.7891821485544144
36,36,0.7949881286081616,0.7906540360648561
37,37,0.7970345357844132,0.7921995045724569
38,38,0.7900300731805754,0.783690330493731
39,39,0.7938817566761152,0.7877051772659871
40,40,0.7962946462863599,0.7886014607031988
41,41,0.7985596751157185,0.7890604054500241
42,42,0.7971957589895782,0.7904973754327231
43,43,0.7930338019453045,0.7844797208096157
44,44,0.796500693743817,0.7870135827845084
45,45,0.7968310624483261,0.7885087486467786
46,46,0.7945249143820372,0.7866989236839304
47,47,0.8063319705191404,0.7961013041763504
48,48,0.8029292963824424,0.7931048184047746
49,49,0.8046456568215058,0.79446934455118
50,50,0.7984427808442064,0.7893968712824873
51,51,0.8046453426432119,0.7953200077701532
52,52,0.7938650681368938,0.7875478477156981
53,53,0.791346466063388,0.7842643960552023
54,54,0.7921411665655589,0.7844759079761265
55,55,0.79397177164722,0.7910413396771747
56,56,0.7916914567345152,0.7837789621493999
57,57,0.7894001384558691,0.7854038312421168
58,58,0.7947490341073794,0.791084016655527
59,59,0.7867199203846142,0.7857730071724081
60,60,0.7933805602427346,0.784197370455972
61,61,0.7951407990048436,0.7854091825873647
62,62,0.7978876537850991,0.7910143153836727
63,63,0.789173010036486,0.78291806448264
64,64,0.7962688277207233,0.786244527580566
65,65,0.7970411217244562,0.7882206455969935
66,66,0.7987715416047131,0.7884257359036201
67,67,0.7996864793569209,0.7919929426458869
68,68,0.7956545240534003,0.7883805839280907
69,69,0.7978885160624701,0.7850630174416395
70,70,0.7977788751495893,0.7854916601959984
71,71,0.7995093643183426,0.7883043941501233
72,72,0.7984909947001707,0.7891753255892232
73,73,0.7917402659155401,0.7827074221553185
74,74,0.7982718098348126,0.7911456240176937
75,75,0.8004258438800731,0.7900312732616289
76,76,0.8063813793606787,0.7935462374959129
77,77,0.79818400211869,0.7868218039491858
78,78,0.8001982227213278,0.7909700998935618
79,79,0.809193949366487,0.7966424589645469
80,80,0.7991460280745619,0.7890404716889755
81,81,0.8036143993743369,0.791862971848178
82,82,0.8021467278190246,0.7907616649961551
83,83,0.8028021687964828,0.7913731899743617
84,84,0.8026819051756977,0.7917796246459416
85,85,0.8071313807296048,0.7957851734558292
86,86,0.8014619664513289,0.793004012438667
87,87,0.8078886536497185,0.7968270803756002
88,88,0.8000430364853391,0.7907048738447113
89,89,0.8000780253796553,0.7900518759408334
90,90,0.8004703936526959,0.790939530333833
91,91,0.8019447610527326,0.790977926235987
92,92,0.8026307151198104,0.7909569222058885
93,93,0.8015769004121637,0.7902013791486973
94,94,0.7947893493948375,0.7831933243038302
95,95,0.7995670465619951,0.7908453466574694
96,96,0.8022684531197644,0.7932248892137751
97,97,0.8052017879293512,0.7964900125167966
98,98,0.8015478731299641,0.7950952512697405
99,99,0.8074916413570383,0.7977971454854178
100,100,0.8108218925922022,0.8036378043644502
101,101,0.8058007330244459,0.7957008897681744
102,102,0.8106559756402982,0.8008809919681659
103,103,0.8118574979587703,0.8059005538107197
104,104,0.8166053123945749,0.8089006517403378
105,105,0.8058562304317405,0.7983768299593994
106,106,0.8133961193072301,0.8051104276848635
107,107,0.8148599308755425,0.805934534853044
108,108,0.8098223863042171,0.7985922216056283
109,109,0.8156420368602851,0.8072525711876081
110,110,0.813199426382295,0.8045261276756057
111,111,0.813155719667072,0.8051968519106176
112,112,0.8063552601342286,0.8007165049936078
113,113,0.8090504925943833,0.7989333029733678
114,114,0.8123527387083003,0.8034709092845305
115,115,0.8106292280580951,0.80152462501786
116,116,0.8116221005864623,0.8019978177214079
117,117,0.8091743605124941,0.8021264506828049
118,118,0.804148751478762,0.7949801973469102
119,119,0.8052142501819292,0.7970535760632186
